sale_id,customer_id,product_name,category,quantity,unit_price,total_amount,sale_date,payment_method
1,1002.0,Monitor,Electronics,1,4900,4900,2025-03-09,UPI
2,1014.0,Keyboard,Accessories,3,9732,29196,2025-06-04,Card
3,1094.0,Tablet,Electronics,2,9150,18300,2025-05-10,NetBanking
4,1034.0,Laptop,Electronics,1,14379,14379,2025-03-12,UPI
5,1001.0,Tablet,Electronics,2,9083,18166,2025-02-11,NetBanking
6,1073.0,Headphones,Accessories,5,816,4080,2025-01-29,UPI
7,1091.0,Keyboard,Accessories,5,1680,8400,2025-04-05,Card
8,1058.0,Keyboard,Accessories,1,10601,10601,2025-04-04,UPI
9,1047.0,Mouse,Accessories,2,3868,7736,2025-04-01,NetBanking
10,1082.0,Keyboard,Accessories,2,5824,11648,2025-02-15,NetBanking
11,1004.0,Keyboard,Accessories,3,13991,41973,2025-06-21,Card
12,1036.0,Keyboard,Accessories,1,13035,13035,2025-01-10,NetBanking
13,1030.0,Mouse,Accessories,4,11957,47828,2025-03-20,Card
14,1030.0,Laptop,Electronics,2,13556,27112,2025-03-26,Cash
15,1009.0,Monitor,Electronics,3,17192,51576,2025-04-13,Cash
16,1004.0,Phone,Electronics,3,6351,19053,2025-05-29,Cash
17,1005.0,Phone,Electronics,5,14739,73695,2025-03-30,Cash
18,1058.0,Phone,Electronics,4,19393,77572,2025-02-18,Cash
19,1006.0,Headphones,Accessories,1,17536,17536,2025-05-18,Card
20,1048.0,Headphones,Accessories,1,11319,11319,2025-06-09,Cash
21,1087.0,Phone,Electronics,3,17117,51351,2025-03-21,NetBanking
22,1043.0,Headphones,Accessories,3,18666,55998,2025-02-02,Card
23,1056.0,Headphones,Accessories,2,19148,38296,2025-03-19,NetBanking
24,1073.0,Laptop,Electronics,3,9901,29703,2025-02-23,NetBanking
25,1077.0,Tablet,Electronics,4,14976,-59904,2025-04-24,Card
26,1068.0,Printer,Electronics,2,3278,6556,2025-03-14,Cash
27,1012.0,Mouse,Accessories,3,7861,23583,2025-02-20,Card
28,1004.0,Laptop,Electronics,2,16069,32138,2025-06-06,UPI
29,1061.0,Headphones,Accessories,5,6871,34355,2025-06-28,NetBanking
30,1066.0,Headphones,Accessories,2,5335,10670,2025-06-17,UPI
31,1099.0,Phone,Electronics,4,7670,30680,2025-02-15,NetBanking
32,1007.0,Mouse,Accessories,1,15457,15457,2025-02-04,NetBanking
33,1088.0,Tablet,Electronics,4,17040,68160,2025-04-20,NetBanking
34,1022.0,Printer,Electronics,4,8993,35972,2025-03-05,Cash
35,1006.0,Printer,Electronics,2,9498,18996,2025-04-23,UPI
36,1094.0,Monitor,Electronics,2,9403,18806,2025-03-27,Cash
37,1072.0,Phone,Electronics,2,5442,10884,2025-03-01,NetBanking
38,1091.0,Keyboard,Accessories,2,2604,5208,2025-04-17,NetBanking
